"","name","year","genre","ratings","synopsis","runtime"
"37","Rashômon","(1950)","
Crime, Drama, Mystery            ","8.2","
The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","88 min"
"38","Talvar","(2015)","
Crime, Drama, Mystery            ","8.1","
An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.","132 min"
"39","Contratiempo","(2016)","
Crime, Drama, Mystery            ","8.1","
A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.","106 min"
"40","Gone Girl","(2014)","
Drama, Mystery, Thriller            ","8.1","
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","149 min"
"41","Kahaani","(2012)","
Mystery, Thriller            ","8.1","
A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.","122 min"
"42","Prisoners","(2013)","
Crime, Drama, Mystery            ","8.1","
When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","153 min"
"43","A Wednesday","(2008)","
Action, Crime, Drama            ","8.1","
A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.","104 min"
"44","Salinui chueok","(2003)","
Crime, Drama, Mystery            ","8.1","
In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","131 min"
"45","Trois couleurs: Rouge","(1994)","
Drama, Mystery, Romance            ","8.1","
A model discovers a retired judge is keen on invading people's privacy.","99 min"
"46","Les diaboliques","(1955)","
Crime, Drama, Horror            ","8.1","
The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.","117 min"
"47","The Third Man","(1949)","
Film-Noir, Mystery, Thriller            ","8.1","
Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","104 min"
"48","Rebecca","(1940)","
Drama, Film-Noir, Mystery            ","8.1","
A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.","130 min"
"49","Zootopia","(2016)","
Animation, Adventure, Comedy            ","8.0","
In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","108 min"
"50","Blade Runner 2049","(2017)","
Action, Drama, Mystery            ","8.0","
Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","164 min"
"51","Darbareye Elly","(2009)","
Drama, Mystery            ","8.0","
The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.","119 min"
"52","The Bourne Ultimatum","(2007)","
Action, Mystery, Thriller            ","8.0","
Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.","115 min"
"53","Mou gaan dou","(2002)","
Action, Crime, Drama            ","8.0","
A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","101 min"
"54","Donnie Darko","(2001)","
Drama, Mystery, Sci-Fi            ","8.0","
After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.","113 min"
"55","Pâfekuto burû","(1997)","
Animation, Crime, Drama            ","8.0","
A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.","81 min"
"56","Twelve Monkeys","(1995)","
Mystery, Sci-Fi, Thriller            ","8.0","
In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","129 min"
"57","Chung Hing sam lam","(1994)","
Comedy, Crime, Drama            ","8.0","
Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.","102 min"
"58","Solaris","(1972)","
Drama, Mystery, Sci-Fi            ","8.0","
A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.","167 min"
"59","Sleuth","(1972)","
Mystery, Thriller            ","8.0","
A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.","138 min"
"60","In the Heat of the Night","(1967)","
Drama, Mystery, Thriller            ","8.0","
A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.","110 min"
"61","Anatomy of a Murder","(1959)","
Drama, Mystery            ","8.0","
An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?","161 min"
"62","Rope","(1948)","
Crime, Drama, Mystery            ","8.0","
Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.","80 min"
"63","Mildred Pierce","(1945)","
Crime, Drama, Film-Noir            ","8.0","
A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.","111 min"
"64","The Maltese Falcon","(1941)","
Crime, Film-Noir, Mystery            ","8.0","
San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.","100 min"
"65","Das Cabinet des Dr. Caligari","(1920)","
Horror, Mystery, Thriller            ","8.0","
Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","76 min"
"66","Knives Out","(2019)","
Comedy, Crime, Drama            ","7.9","
A detective investigates the death of the patriarch of an eccentric, combative family.","130 min"
"67","The Man from Earth","(2007)","
Drama, Fantasy, Mystery            ","7.9","
An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.","87 min"
"68","Mystic River","(2003)","
Crime, Drama, Mystery            ","7.9","
The lives of three men who were childhood friends are shattered when one of them has a family tragedy.","138 min"
"69","Harry Potter and the Prisoner of Azkaban","(2004)","
Adventure, Family, Fantasy            ","7.9","
Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","142 min"
"70","Hable con ella","(2002)","
Drama, Mystery, Romance            ","7.9","
Two men share an odd friendship while they care for two women who are both in deep comas.","112 min"
"71","The Bourne Identity","(2002)","
Action, Mystery, Thriller            ","7.9","
A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","119 min"
"72","Mulholland Dr.","(2001)","
Drama, Mystery, Thriller            ","7.9","
After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","147 min"
"73","Kôkaku Kidôtai","(1995)","
Animation, Action, Crime            ","7.9","
A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.","83 min"
"74","Trois couleurs: Bleu","(1993)","
Drama, Music, Mystery            ","7.9","
A woman struggles to find a way to live her life after the death of her husband and child.","94 min"
"75","Charade","(1963)","
Comedy, Mystery, Romance            ","7.9","
Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?","113 min"
"76","In a Lonely Place","(1950)","
Drama, Film-Noir, Mystery            ","7.9","
A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.","94 min"
"77","The Big Sleep","(1946)","
Crime, Film-Noir, Mystery            ","7.9","
Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.","114 min"
"78","Laura","(1944)","
Drama, Film-Noir, Mystery            ","7.9","
A police detective falls in love with the woman whose murder he is investigating.","88 min"
"79","The Thin Man","(1934)","
Comedy, Mystery            ","7.9","
Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.","91 min"
"80","Badla","(2019)","
Crime, Drama, Mystery            ","7.8","
A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.","118 min"
"81","The Hateful Eight","(2015)","
Crime, Drama, Mystery            ","7.8","
In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","168 min"
"82","Loving Vincent","(2017)","
Animation, Biography, Crime            ","7.8","
In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.","94 min"
"83","La migliore offerta","(2013)","
Crime, Drama, Mystery            ","7.8","
A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.","131 min"
"84","The Girl with the Dragon Tattoo","(2011)","
Crime, Drama, Mystery            ","7.8","
Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.","158 min"
"85","Madeo","(2009)","
Crime, Drama, Mystery            ","7.8","
A mother desperately searches for the killer who framed her son for a girl's horrific murder.","129 min"
"86","Moon","(2009)","
Drama, Mystery, Sci-Fi            ","7.8","
Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.","97 min"
"87","Das weiße Band - Eine deutsche Kindergeschichte","(2009)","
Drama, History, Mystery            ","7.8","
Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?","144 min"
"88","Män som hatar kvinnor","(2009)","
Crime, Drama, Mystery            ","7.8","
A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.","152 min"
"89","Changeling","(2008)","
Biography, Crime, Drama            ","7.8","
Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.","141 min"
"90","Atonement","(2007)","
Drama, Mystery, Romance            ","7.8","
Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.","123 min"
"91","Hot Fuzz","(2007)","
Action, Comedy, Mystery            ","7.8","
A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.","121 min"
"92","The Game","(1997)","
Drama, Mystery, Thriller            ","7.8","
After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.","129 min"
"93","The Fugitive","(1993)","
Action, Crime, Drama            ","7.8","
Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.","130 min"
"94","Batman: Mask of the Phantasm","(1993)","
Animation, Action, Adventure            ","7.8","
Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.","76 min"
"95","Mississippi Burning","(1988)","
Crime, Drama, History            ","7.8","
Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.","128 min"
"96","The Conversation","(1974)","
Drama, Mystery, Thriller            ","7.8","
A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.","113 min"
"97","L'avventura","(1960)","
Drama, Mystery, Romance            ","7.8","
A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.","144 min"
"98","Gaslight","(1944)","
Crime, Drama, Mystery            ","7.8","
Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane.","114 min"
"99","The Lady Vanishes","(1938)","
Mystery, Thriller            ","7.8","
While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.","96 min"
"100","Wind River","(2017)","
Crime, Drama, Mystery            ","7.7","
A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.","107 min"
